Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC6703                ,281.8285245,45.5506042,10,9,10,7427.184,7600.387
PGC170203              ,192.05206199999998,-5.7793333,10,9,10,4903.726,5071.202
NGC6702                ,281.739939,45.7057799,10,9,10,7427.184,7600.387
NGC0266                ,12.449091,32.2776927,10,10,10,24082.548,23720.779
PGC2231366             ,263.2943775,43.8796467,10,10,10,28144.668,28482.278000000002
NGC6509                ,269.8555425,6.2869924,10,9,10,30144.321000000004,30959.614999999998
UGC11861               ,329.1005835,73.2609167,10,10,10,43454.187,43814.814999999995
NGC6862                ,302.2285485,-56.392087,10,10,10,5461.142,5500.608999999999
NGC7599                ,349.837695,-42.2565407,10,10,10,21714.164,21913.414999999997
NGC7590                ,349.7281815,-42.2391053,10,10,10,21714.164,21913.414999999997
NGC3717                ,172.8831525,-30.3077105,10,0,10,0.0,1144.448
NGC1066                ,40.9581195,32.4750829,10,9,10,17185.428,18825.814000000002
NGC0703                ,28.165281,36.171172,10,10,10,11915.399,12485.029
IC1263                 ,263.2801515,43.8219899,10,10,10,28144.668,28482.278000000002
NGC0708                ,28.193919,36.1519464,10,10,10,11915.399,12485.029
NGC7059                ,321.839589,-60.014452,10,8,10,3320.7879999999996,3526.939
IC2574                 ,157.0978333333333,68.41213888888889,10,10,10,16319.996000000001,16565.514
NGC3175                ,153.67553550000002,-28.8719446,10,10,10,13193.099000000002,13350.266
NGC1057                ,40.762041,32.4911944,10,9,10,17185.428,18825.814000000002
NGC4697                ,192.149694,-5.8007715,10,9,10,4903.726,5071.202
IC5179                 ,334.03809,-36.8436333,10,10,10,9473.836,9693.722999999998
NGC3628                ,170.0707545,13.5896273,10,10,10,26366.088000000003,29369.051000000003
IC1262                 ,263.2584165,43.7595833,10,10,10,28144.668,28482.278000000002
PGC1105521             ,202.6782645,-1.9560303,10,10,10,2414.444,2492.358
NGC2805                ,140.0849025,64.1029681,10,10,10,7622.965999999999,7681.602
NGC1961                ,85.5199785,69.3786639,9,9,9,17537.154,17942.581
ESO561-023             ,122.96888849999999,-18.3004621,9,9,9,141477.79499999998,141582.84999999998
PGC000108              ,0.358467,13.1128852,9,9,9,17184.921000000002,17252.429
NGC5426                ,210.853722,-6.0698667,9,8,9,9224.501,9201.195
ESO443-043             ,196.0026045,-30.3690417,9,8,9,4597.934,4727.929999999999
NGC4761                ,193.2737835,-9.2039135,9,9,9,13786.038,14095.468
ESO148-002             ,348.944889,-59.0543534,9,5,9,16008.292000000003,26145.334
NGC3599                ,168.8622915,18.1103766,9,9,9,18559.378999999997,18983.527000000002
ESO137-034             ,248.8084515,-58.0795247,9,9,9,20351.832,20932.442
NGC4759                ,193.268775,-9.20003,9,9,9,13786.038,14095.468
ESO418-007             ,52.48671,-28.774652,9,9,8,31713.915,30911.452
NGC0710                ,28.2249225,36.0528481,9,9,9,11103.596000000001,11173.722
NGC0527                ,20.9921775,-35.1151325,9,8,9,14992.701000000001,15546.42
NGC3898                ,177.313767,56.0843617,9,9,9,7892.101,7951.109
NGC5141                ,201.2144145,36.378764,9,9,9,11742.453,11884.440999999999
IC0950                 ,208.111038,14.4910128,9,9,9,12582.106,11166.389000000001
NGC1232                ,47.439399,-20.5790414,9,9,9,30950.805,31821.417000000005
ESO450-002             ,233.9462535,-28.9148595,9,9,9,45988.415,46336.046
ESO306-019             ,85.096497,-41.4844921,9,9,9,11396.858999999999,11570.16
PGC032033              ,161.078991,52.7701315,9,9,9,12929.778000000002,13987.106
PGC2421400             ,214.4485365,52.6953472,9,9,9,12707.733,12912.101999999999
ESO365-001             ,93.5354985,-33.4988682,9,9,9,16225.276,16406.641
NGC5090                ,200.3035545,-43.7045827,9,7,9,7558.3679999999995,10015.594000000001
NGC6027                ,239.795241,20.7621839,9,9,9,13968.403999999999,14018.631000000001
NGC0704                ,28.157067,36.1267371,9,9,9,11103.596000000001,11173.722
NGC4102                ,181.5981495,52.7109722,9,9,9,27043.515,27175.759000000002
NGC5356                ,208.7435295,5.3337007,9,8,8,15016.907,15885.100000000002
NGC5258                ,204.99027,0.8308395,8,8,8,17470.147,17962.229
IC0577                 ,149.0165505,10.4988569,8,8,8,26774.334000000003,27340.519
NGC5257                ,204.9700155,0.8399433,8,8,8,17470.147,17962.229
NGC5247                ,204.512997,-17.8840462,8,8,8,21663.566,22223.698
NGC1553                ,64.043676,-55.780018,8,8,8,2714.011,2736.185
NGC5793                ,224.853333,-16.6934722,8,8,8,19152.531,19095.217
PGC894674              ,224.920791,-16.7096667,8,8,8,19152.531,19095.217
ESO364-029             ,91.4373105,-33.0816082,8,8,8,17601.089999999997,17855.647
PGC036871              ,177.135159,12.7052309,8,8,8,14673.363,14936.255999999998
PGC046101              ,198.8219205,44.4070977,8,6,8,19800.305,27696.415
NGC3110                ,151.008798,-6.4747244,8,8,8,4637.467000000001,4675.763
NGC2623                ,129.6002805,25.7545702,8,8,8,11995.154999999999,11551.534
NGC2500                ,120.47157,50.7371623,8,8,8,12357.368,12520.122000000001
UGC00833               ,19.5369165,11.38175,8,8,8,29262.888000000003,30190.449
PGC010980              ,43.6859535,41.5283499,8,7,7,7031.84,7088.115000000001
NGC1398                ,54.717063,-26.3377639,8,8,8,5355.446,5401.6230000000005
NGC2307                ,102.2116665,-64.3355556,8,8,8,2178.25,2215.59
UGC04374               ,125.72198850000001,3.5712202,8,8,8,25996.346,26743.678
UGC04532               ,130.42190699999998,18.8600017,8,8,8,4523.763,4450.763
NGC1521                ,62.0788755,-21.0519167,8,8,8,16566.224000000002,16739.941
2MASXJ13411534+3022181 ,205.313931,30.3718176,8,8,8,22427.928,22724.115
NGC5796                ,224.8503045,-16.6238199,8,8,8,19152.531,19095.217
PGC023546              ,125.892609,21.3477215,8,8,8,9624.325,9931.906
NGC0527B               ,20.9972715,-35.1273611,8,7,8,14213.964000000002,14761.641000000001
NGC5905                ,228.8471985,55.5171897,8,8,8,32447.333,32476.749
NGC0974                ,38.607375,32.9544444,8,8,8,18350.199,18305.492000000002
NGC0214                ,10.366749,25.4993442,8,7,8,15126.815,18605.36
PGC006186              ,25.1052105,-7.9023885,8,8,8,17758.677,18099.806
PGC004461              ,18.5917395,-55.4001338,8,7,8,29464.993000000002,29459.45
NGC7507                ,348.031554,-28.539653,8,7,8,2082.344,2384.5769999999998
NGC7049                ,319.750866,-48.5608096,8,8,8,5024.259,5074.473
NGC6872                ,304.2347445,-70.7679087,8,8,8,3337.734,3382.954
NGC0978                ,38.695708499999995,32.8461667,8,8,8,30510.958999999995,30446.513
3C277.3                ,193.550085,27.6260933,7,7,7,3693.1589999999997,3717.56
